date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:56	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2017:56:56%20GMT	https://nayonacademy.com/html/saasox	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox.0.delayed	(from )
23:26:57	127614/127614	---M-Z	200	added ('OK')	text/html	etag:%221f27e-682fe3c7-dead22405cb175ba;gz%22	https://nayonacademy.com/html/saasox/	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/index.html	(from )
23:26:58	117/117	---M-Z	200	added ('OK')	text/plain	date:Mon,%2028%20Jul%202025%2017:56:58%20GMT	https://nayonacademy.com/robots.txt		(from )
23:26:59	1951/1951	---M--	200	added ('OK')	image/png	etag:%2279f-682fe3c7-12c899d3b21f76d5;;;%22	https://nayonacademy.com/html/saasox/assets/img/favicon.png	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/assets/img/favicon.png	(from https://nayonacademy.com/html/saasox/)
23:26:59	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-682fe3c7-178fb059e32edd7c;gz%22	https://nayonacademy.com/html/saasox/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/assets/css/bootstrap.min.css	(from https://nayonacademy.com/html/saasox/)
23:27:00	96461/96461	---M-Z	200	added ('OK')	text/css	etag:%22178cd-682fe3c7-d2c2192c516f041c;gz%22	https://nayonacademy.com/html/saasox/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/assets/css/fontawesome.min.css	(from https://nayonacademy.com/html/saasox/)
23:27:00	77769/77769	---M-Z	200	added ('OK')	text/css	etag:%2212fc9-682fe3c7-8ca4eda3272f982f;gz%22	https://nayonacademy.com/html/saasox/assets/css/animate.css	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/assets/css/animate.css	(from https://nayonacademy.com/html/saasox/)
23:27:00	3967/3967	---M-Z	200	added ('OK')	text/css	etag:%22f7f-682fe3c7-7b88e6b379b0d3d1;gz%22	https://nayonacademy.com/html/saasox/assets/css/odometer.css	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/assets/css/odometer.css	(from https://nayonacademy.com/html/saasox/)
23:27:01	1429/1429	---M-Z	200	added ('OK')	text/css	etag:%22595-682fe3c7-aa12d97f7b60a80e;gz%22	https://nayonacademy.com/html/saasox/assets/css/slick.min.css	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/assets/css/slick.min.css	(from https://nayonacademy.com/html/saasox/)
23:27:02	142441/142441	---M-Z	200	added ('OK')	text/css	etag:%2222c69-682fe3c7-eb04f0a248a31ac4;gz%22	https://nayonacademy.com/html/saasox/assets/css/style.css	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/assets/css/style.css	(from https://nayonacademy.com/html/saasox/)
23:27:02	127614/127614	---M-Z	200	added ('OK')	text/html	etag:%221f27e-682fe3c7-dead22405cb175ba;gz%22	https://nayonacademy.com/html/saasox/index.html	C:/My%20Web%20Sites/sos/nayonacademy.com/html/saasox/index-2.html	(from https://nayonacademy.com/html/saasox/)
